Attributes: 5.00 (μ=6.97) ±6.17 [0.0 | 2.0 ↔ 11.8 | 23.0]
  Features with attributes: 6.00 (μ=8.69) ±10.24 [0.0 | 2.0 ↔ 9.8 | 41.0]
  Min attributes per feature: 0.00 (μ=0.03) ±0.17 [0.0 | 0.0 ↔ 0.0 | 1.0]
  Max attributes per feature: 3.00 (μ=5.36) ±5.43 [0.0 | 2.0 ↔ 7.8 | 23.0]
  Avg attributes per feature: 0.67 (μ=2.50) ±3.90 [0.0 | 0.2 ↔ 2.0 | 11.0]
  Avg attributes per feature w. attributes: 2.00 (μ=4.15) ±5.21 [0.0 | 1.1 ↔ 3.2 | 23.0]
SEMANTIC METRICS:
Satisfiable (valid): 1.00 (μ=0.81) ±0.40 [0.0 | 1.0 ↔ 1.0 | 1.0]
Core features: 1.00 (μ=2.00) ±2.48 [0.0 | 1.0 ↔ 1.8 | 9.0]
  False-optional features: 0.00 (μ=7.44) ±16.67 [0.0 | 0.0 ↔ 1.8 | 62.0]
Dead features: 0.00 (μ=8.31) ±18.35 [0.0 | 0.0 ↔ 0.8 | 64.0]
Variant features: 8.50 (μ=16.28) ±16.22 [0.0 | 3.0 ↔ 29.5 | 59.0]
Configurations: 14.00 (μ=6882.54) ±31450.56 [1.7 | 5.1 ↔ 32.5 | 144144.0]
  Boolean configurations: 13.00 (μ=12270.24) ±53363.28 [1.1 | 3.8 ↔ 62.0 | 290304.0]
  Unbounded features: 2.00 (μ=5.19) ±10.38 [0.0 | 0.0 ↔ 4.5 | 44.0]
Total variability: 5.33 (μ=15.10) ±20.30 [0.0 | 1.9 ↔ 34.5 | 53.3]
Partial variability: 13.30 (μ=41.62) ±52.27 [0.0 | 1.1 ↔ 100.0 | 200.0]
